Energy(keV) dN/dE(keV^-1)
2282.4564913 0.000371308218909
2285.25705141 0.000371426477166
2288.05761152 0.000371542847008
2290.85817163 0.000371657327769
2293.65873175 0.0003717699188
2296.45929186 0.000371880619467
2299.25985197 0.00037198942915
2302.06041208 0.000372096347248
2304.86097219 0.000372201373174
2307.66153231 0.000372304506355
2310.46209242 0.000372405746237
2313.26265253 0.000372505092279
2316.06321264 0.000372602543956
2318.86377275 0.000372698100761
2321.66433287 0.0003727917622
2324.46489298 0.000372883527796
2327.26545309 0.000372973397088
2330.0660132 0.000373061369628
2332.86657331 0.000373147444987
2335.66713343 0.00037323162275
2338.46769354 0.000373313902519
2341.26825365 0.000373394283909
2344.06881376 0.000373472766554
2346.86937387 0.000373549350101
2349.66993399 0.000373624034214
2352.4704941 0.000373696818572
2355.27105421 0.00037376770287
2358.07161432 0.000373836686819
2360.87217443 0.000373903770145
2363.67273455 0.00037396895259
2366.47329466 0.000374032233912
2369.27385477 0.000374093613884
2372.07441488 0.000374153092295
2374.87497499 0.00037421066895
2377.67553511 0.000374266343668
2380.47609522 0.000374320116286
2383.27665533 0.000374371986656
2386.07721544 0.000374421954644
2388.87777556 0.000374470020133
2391.67833567 0.000374516183022
2394.47889578 0.000374560443225
2397.27945589 0.000374602800672
2400.080016 0.000374643255309
2402.88057612 0.000374681807095
2405.68113623 0.000374718456009
2408.48169634 0.000374753202042
2411.28225645 0.000374786045203
2414.08281656 0.000374816985515
2416.88337668 0.000374846023017
2419.68393679 0.000374873157765
2422.4844969 0.000374898389829
2425.28505701 0.000374921719296
2428.08561712 0.000374943146266
2430.88617724 0.000374962670859
2433.68673735 0.000374980293206
2436.48729746 0.000374996013456
2439.28785757 0.000375009831775
2442.08841768 0.000375021748342
2444.8889778 0.000375031763352
2447.68953791 0.000375039877017
2450.49009802 0.000375046089565
2453.29065813 0.000375050401237
2456.09121824 0.000375052812291
2458.89177836 0.000375053323003
2461.69233847 0.00037505193366
2464.49289858 0.000375048644568
2467.29345869 0.000375043456048
2470.0940188 0.000375036368437
2472.89457892 0.000375027382085
2475.69513903 0.000375016497361
2478.49569914 0.000375003714647
2481.29625925 0.000374989034343
2484.09681936 0.000374972456863
2486.89737948 0.000374953982638
2489.69793959 0.000374933612112
2492.4984997 0.000374911345746
2495.29905981 0.000374887184019
2498.09961992 0.000374861127422
2500.90018004 0.000374833176464
2503.70074015 0.000374803331667
2506.50130026 0.000374771593573
2509.30186037 0.000374737962734
2512.10242048 0.000374702439723
2514.9029806 0.000374665025125
2517.70354071 0.000374625719542
2520.50410082 0.000374584523591
2523.30466093 0.000374541437905
2526.10522104 0.000374496463134
2528.90578116 0.00037444959994
2531.70634127 0.000374400849004
2534.50690138 0.000374350211022
2537.30746149 0.000374297686703
2540.1080216 0.000374243276776
2542.90858172 0.000374186981981
2545.70914183 0.000374128803077
2548.50970194 0.000374068740838
